id,city,country,latitude,longitude,temperature,humidity,cloudiness
921889,Fomboni,KM,-12.28,43.74,29.15,73,22
679788,Damienesti,RO,46.73,26.98,11.33,93,85
2068110,Kununurra,AU,-15.77,128.74,32,25,22
1052944,Angoche,MZ,-16.23,39.91,23.35,87,0
2129211,Misawa,JP,40.75,141.38,21.47,18,0
2594800,Idenao,CM,4.25,9,27.65,84,100
3946820,Barranca,PE,-10.75,-77.76,19.05,93,63
1486321,Yar-Sale,RU,66.83,70.83,1.85,80,3
2270385,Camacha,PT,33.08,-16.33,16.43,55,40
5978133,Hudson Bay,CA,52.86,-102.4,-2.05,87,65
546105,Nikolskoye,RU,59.7,30.79,4.03,86,0
2022773,Khandyga,RU,62.65,135.58,5.15,74,100
2092164,Lorengau,PG,-2.02,147.27,29.45,68,100
5859699,College,US,64.86,-147.8,7.09,42,90
2428231,Massaguet,TD,12.48,15.44,31,40,0
2015306,Tiksi,RU,71.64,128.87,-0.45,80,59
3372472,Vila Franca do Campo,PT,37.72,-25.43,13.88,82,75
554791,Izmaylovo,RU,53.72,47.24,12.15,80,3
3994911,Nocupetaro,MX,19.05,-101.15,24.15,39,100
1337605,Mahibadhoo,MV,3.78,72.97,29.45,71,10
4034551,Faanui,PF,-16.48,-151.75,27.85,78,16
1014034,Carnarvon,ZA,-30.97,22.13,13.45,39,14
2083537,Wewak,PG,-3.55,143.63,29.55,64,100
2314705,Kikwit,CD,-5.04,18.82,22.85,78,89
1814934,Jiangkou,CN,30.7,117.56,27.75,36,100
4014109,Choix,MX,26.71,-108.33,21.85,22,0
3443061,Chuy,UY,-33.69,-53.46,20.85,92,100
1865309,Katsuura,JP,33.93,134.5,21.1,72,75
2069194,Jamestown,AU,-33.21,138.6,17.65,44,0
1695555,Pandan,PH,11.72,122.09,29.65,72,26
1714733,Dingle,PH,11,122.67,35.65,38,16
2145554,Manyana,AU,-35.26,150.51,17.93,55,75
4031742,Egvekinot,RU,66.32,-179.17,-2.35,95,99
3372707,Ribeira Grande,PT,38.52,-28.7,15.55,66,4
286245,Sur,OM,22.57,59.53,32.95,11,0
303750,Tall Kayf,TR,37.08,41.07,7.9,93,0
3592086,Ocos,GT,14.51,-92.19,29,79,75
2013921,Ust-Kuyga,RU,70,135.55,0.25,97,0
2067119,Mandurah,AU,-32.55,115.7,20.63,68,90
3653967,Muisne,EC,0.61,-80.02,27.55,76,99
4372777,Vardo,US,39.62,-77.74,17.76,93,90
6148373,Sioux Lookout,CA,50.1,-91.92,5.61,56,40
2208248,Kaitangata,NZ,-46.28,169.85,11.67,74,99
3894426,Coihaique,CL,-45.58,-72.07,6.71,81,75
4035715,Avarua,CK,-21.21,-159.78,27,69,2
3174653,Lizzano,IT,40.39,17.45,14.22,93,75
5882953,Aklavik,CA,68.22,-135.01,-1,54,75
1314759,Lashio,MM,22.93,97.75,33.45,38,47
5961417,Husavik,CA,50.56,-96.99,5.52,45,80
2022317,Dormidontovka,RU,47.77,134.91,22.35,29,89
3465228,Coxim,BR,-18.5,-54.75,23.95,79,5
2983990,Rennes,FR,48.11,-1.68,3.1,100,0
2630299,Hofn,IS,64.25,-15.21,-1.55,86,34
6145890,Shelburne,CA,44.08,-80.2,7.43,93,90
1500933,Labytnangi,RU,66.66,66.39,-1.15,88,47
2514651,Los Llanos de Aridane,ES,28.66,-17.92,14.88,59,90
2169535,Dalby,AU,-27.18,151.26,20.29,48,0
8010472,Belmonte,PT,40.36,-7.35,7.78,90,0
2194098,Ahipara,NZ,-35.17,173.16,20,93,51
3031582,Saint-Augustin,FR,44.83,-0.61,2.63,86,0
